Words,Sadness,Anxiety,Anger,Disgust,Trust,Surprise,Joy
アーティスト,0.4644,0.05,0,0,0.05,0.1585,2.2203
アイドル,0.7018,0.0417,0.1321,0.0417,0,0.875,0.875
あおり,0,0,2.7348,0.4644,0,0.1585,0
あった,0.5881,0.2727,0.5322,0.6452,0.372,1.0701,0.424
あって,0.1509,0,0.2857,0.1509,1.6473,0.1509,0.1509
あと,0.5805,0.5805,0,0.1981,0.1981,0.375,0.0625
アドバイス,0,0.0455,0,0.1441,3.7326,0,0
アニメ,0.0769,0.0769,0,0.0769,0,0.4615,1.6154
あまり,0.2444,0.2444,0.2444,0.4433,0.2444,1.3025,0.1579
あり,0.4615,0.6317,0.3033,0.7655,1.3415,0.6757,0.23
ある,0.1393,1.0669,0.3895,0.7819,1.8747,0.6124,0.1643
アルバイト,0,0.5,0.2642,1.0771,0.0833,0,0.0833
アンケート,0.0909,0.0909,0.0909,0.0909,0,0.5455,0.8443
い,1.0999,0.5635,0.0704,0.4667,0.3743,0.2064,0.2872
いい,0.2393,0.4696,0.172,0.7303,0.7303,0.3889,0.4696
いう,0.3976,0.8148,0.3436,0.5689,0.5689,0.9439,0.1936
いか,1.2076,1,0.6155,0.0476,0,0,0
いきなり,0.1865,0,0.9908,0.3529,0,0.9908,0
いく,0,3.4185,0,0,0,0.0625,0.0625
いくら,0.0909,0,1.5313,0.0909,0.0909,0.2882,0
いけない,0.1865,0.7603,0.1865,0.3529,0.3529,0.1865,0
いじめ,0.8021,0,1.4237,0.8021,0,0,0
いた,0.2132,0,0.6924,2.7127,0.1176,0.7595,0
いつ,0.0435,3.5703,0,0,0.0435,0,0.1378
いった,0,0.0833,0,0.2642,0.0833,0.2642,1.4037
いって,0.0714,0.2264,0.0714,0.0714,0,0.2264,1.5
いつも,0.2442,0.1503,0.3476,0.4023,2.8098,0.1503,0.1959
いて,0,0.1057,0.9966,1.3145,0.3096,0.1057,0.1057
イベント,0.2642,0,0.0833,0,0,0.2642,1.75
イモトアヤコ,0,0,0,0,0.0667,3.6464,0
イライラ,0.0714,0.0714,2.8168,0.0714,0,0,0
いる,0.0668,0.2489,0.7587,2.1943,1.0237,0.2489,0.2489
いろいろ,0,0.0714,0,0.0714,1.2032,0.4286,0.4286
インフルエンザ,1.1026,0.913,0,0.0435,0.1378,0.5619,0
うち,0,0.6634,0.4286,0.0714,0.6634,0.0714,0.0714
うまく,0.4108,2.4273,0.2265,0,0.2265,0,0.3152
うるさい,0.0667,0,1.4,1.4,0,0,0
エリカ,0.0689,0,0.0217,0.281,0,4.077,0.0689
オークション,0.2264,0,0.4286,0.0714,0.6634,0.0714,0.4286
おじさん,0.4286,0,0.2264,1.8114,0,0.0714,0
おばさん,0.1865,0,0.7603,1.7587,0,0.0588,0
お腹,0.2642,1.4037,0,0.2642,0.0833,0,0.0833
カード,0.1509,0.8021,1,0.0476,0,0.6155,0
かかった,0.774,0.774,0.2642,0.0833,0,0.0833,0
かかって,0.2882,0.0909,0.5455,0,0.0909,0.5455,0.0909
かけて,0.0991,0,0.6562,0.4039,1.2323,0.1875,0.2902
かなり,0.2222,0.4787,0.4787,0.037,0.2222,1.1073,0.037
カラオケ,0,0,0,0.0476,0,0.0476,3.9103
がん,0.8617,0.4,0,0,0.0667,1.1229,0
きた,0.3529,0.3529,0.1865,0.5463,0.0588,0.3529,0.0588
きちんと,0,0.1509,0.1509,0.1509,2.6046,0.0476,0
キャラ,0.0909,0.0909,0.0909,0.2882,0.2882,0.5455,0.0909
キャンセル,1.2032,0.0714,0.9232,0.0714,0,0.0714,0
キャンプ,0,0,0,0,0,0,3.585
クラウドソーシング,0.5,0,1.0771,0,0,0,0.774
グループ,0.5455,0.0909,0,0.2882,0.5455,0.2882,0
くれた,0,0,0,0,3.6333,0.0556,0.0556
ゲーム,0.0789,0.0417,0.1701,0.1701,0.0132,0.1222,4.2979
ゴキブリ,0.0769,0,0,3.0334,0,0.0769,0
こと,1.4111,0.7371,1.2969,0.818,1.0829,1.4605,1.2107
こども,0,0,0.774,0,0,1.0771,0.5
このまま,0,3.75,0,0.0625,0,0,0
この先,0,4.1466,0,0,0.1321,0,0
ゴミ,0.0961,0,1.9818,1.3456,0.0303,0.0961,0
ゴルフ,0.0526,0.0526,0,0,0,0,3.731
コンサート,0.0667,0.0667,0,0,0.0667,0.0667,2.629
コンビニ,0.0476,0.1509,1,1.4237,0,0.1509,0
ご飯,0.24,0,0.3715,0,0.24,0.3715,1.5774
さ,1.1298,0.4651,2.323,0.8053,0.4471,0.6124,0.1812
サイト,0.0476,0,0.4423,0.4423,0.2857,0.4423,0.6155
サッカー,0.1585,0.05,0.1585,0,0.3,0.6462,1.05
サプライズ,0.0714,0,0,0,0,3.1718,0.0714
サポート,0.0417,0.0417,0.0417,0.0417,3.6603,0,0
さらに,0.0833,0,0.774,0.2642,0.0833,0.5,0.0833
し,0.6458,0.5408,1.3913,1.0068,0.6995,0.5408,0.3902
した,1.8569,0.4646,0.7882,0.5589,0.7436,1.2048,1.1455
したら,0.2534,0.1821,0.5862,0.1176,1.1765,0.9705,0.0622
したり,0.1865,0,0.1865,0.0588,0.1865,0.3529,1.2353
しっかり,0,0,0.0625,0,2.7753,0.1981,0.0625
して,0.8684,0.6487,0.9773,0.9857,2.0771,0.8684,0.8353
しよう,0.5385,1.2457,0.25,0.25,0.0417,0.1321,0.0417
ショッピング,0.3333,0,0.1761,0,0,0.9358,1.1667
しれ,0.1761,1.1667,0.3333,0.3333,0.0556,0.0556,0.0556
す,0,0.0909,0.2882,0.0909,0.8443,0.0909,0.2882
スーパー,0.066,0,0.7207,1.4768,0.2693,1.0312,0.0208
すぐ,0.3828,0.2111,0.1364,0.3828,1.7378,0.2111,0.1364
すごく,0.6192,0.0667,0.2113,0.2113,0,0.4,0.4
ずっと,0.4169,0.4169,0.2996,0.5434,0.6774,0.1935,0.0323
スポーツ,0.0556,0,0.0556,0.0556,0.0556,0.718,1.661
スマホ,0.5693,0.1657,0.8385,0.7692,0.4435,0.7012,0.216
する,0.2876,0.8815,1.3765,1.3988,0.6587,0.504,0.6587
せ,0.25,0.0417,1.4414,0.875,0,0.25,0
せい,0.3529,0.1865,0.9908,0.7603,0.0588,0,0
センター,0.2882,0.0909,0.0909,0,0.2882,0.0909,0.8443
その後,0.2882,0.0909,0.8443,0,0.0909,0.5455,0
たくさん,0,0.1441,0.0455,0.1441,0.2727,0.7656,1.1527
タスク,0.8443,0.2882,0.0909,0.0909,0.0909,0.2882,0
タバコ,0.0244,0,0.9618,3.1658,0.0244,0.0244,0
ため,1.2155,0.5635,0.2064,0.3743,0.3743,0.2064,0.1333
チーム,0.5264,0,0.4039,0.0312,1.0811,0.4039,0.4039
ちえ,1.05,0,0,0,0,2.4748,0
チケット,0.7656,0.2727,0.2727,0.1441,0.0455,0.4222,0.2727
ちゃんと,0,0.9908,0.1865,0.0588,1.2353,0,0.0588
ついた,0.8021,0.1509,0.1509,0.4423,0.0476,0.6155,0.0476
ついて,0.3381,1.486,0.3986,0.5258,1.0195,0.1238,0.0133
つか,0.1585,0.05,0.3,0.4644,1.268,0.1585,0
つく,0,0.2438,0.7144,0.9942,0,0.2438,0
でき,1.0215,0.8243,0.5163,0.636,0.4585,0.2442,0.1503
できた,0.1548,0.0528,0.0167,0,0.9116,0.6572,2.2671
できて,0.387,0.387,0.0417,0.1321,0.1321,0.25,1.0566
できる,0.0094,1.2245,0.0094,0.0299,2.7427,0.1981,0.6688
テスト,0.9232,0.9232,0.0714,0.0714,0.0714,0.0714,0
テニス,0,0,0,0,0,0.4615,2.6611
テレビ,0.4211,0.0446,0.2372,0.8451,0.0446,0.3572,2.0042
テロ,0.0667,0,0.8617,1.9932,0,0,0
トイレ,0.1667,0.4679,0.0881,1.9691,0.1667,0.258,0.0278
とき,0.5065,0.5486,0.6346,0.7897,1.115,0.3446,1.6575
とくに,0.3801,0.0294,0.2732,0.2732,0.8793,1.0175,0.0294
ところ,0.4286,0.1895,0.6102,0.5175,0.6102,0.6102,0.1224
とても,0.5639,0.5103,0.2614,0.0957,0.9056,0.5103,1.2115
ドライバー,0,0.0909,1.175,1.175,0,0,0
ドライブ,0,0,0.0435,0,0.0435,0.0435,3.8194
トラブル,0,0.2642,0.5,0.2642,1.0771,0,0
ドラマ,0.4954,0,0,0.1765,0,0.2732,2.7544
な,0,0.0909,0.8443,0.8443,0,0.2882,0
ない,0.3475,0.5573,0.9483,1.4929,1.0679,1.0335,0.6518
なかった,0.5615,0.3096,0.7,0.0333,0.2,0.7,0.1057
なかなか,0.6795,1.7378,0.6795,0.072,0.1364,0,0.1364
なく,0.216,0.4884,0.4884,0.3006,0.8045,0.3006,0.3006
なくて,0.8078,1.0528,0.375,0,0.1981,0,0
なくなった,2.7372,0.4308,0.3096,0,0.0333,0.0333,0
なし,0.377,0.2073,0.6504,1.1872,1.5228,1.5228,0.8185
なぜ,0.2642,0,1.0771,0.5,0.0833,0.0833,0
なった,1.8971,1.0282,0.2512,0.1904,0.4166,0.9467,0.1338
なって,1.3293,0.7622,0.5322,0.139,0.5881,0.5322,0.139
なら,0.2814,1.195,0.906,0.2814,0.0303,0.1818,0.0303
なり,1.3333,1.4533,0.2872,0.2064,0.0704,0.0704,0.0222
なる,0.1959,2.65,0.1503,0.2949,0.5755,0.1959,0.1959
に,0.1981,0,1.0528,1.3125,0.0625,0,0
ニュース,0.7782,0.2941,1.4192,1.5093,0.021,0.9843,0
ネコ,0.4286,0,0,0.4286,0.0714,0.2264,0.9232
ネット,0.2439,0.5641,0.4785,0.5641,0.0598,0.5641,0.744
の,0.7547,0.3835,0.8287,1.0831,0.4273,0.8287,1.0831
パートナー,0,0,0.0625,0,3.4185,0,0.0625
バイク,0.6155,0.1509,0.4423,0.2857,0,0.0476,0.8021
バイト,0.1093,0,1.1929,1.8861,0.0345,0.0345,0.0345
バス,0,0,0.8865,0.4888,0.1668,0.4888,0.3158
パソコン,0.4423,0.1509,0.1509,0.2857,0.4423,0.1509,0.4423
パチンコ,0.4286,0,0,0.0714,0,0,2.471
バレンタイン,0.0833,0.0833,0.0833,0,0.0833,1.0771,0.5
パワハラ,0.3203,0.1093,1.1929,1.3598,0,0.1093,0
バンド,0.5,0,0,0,0.2642,0.2642,1.0771
ひいて,0.0909,0.2882,0.2882,0.5455,0.2882,0.0909,0
びっくり,0.0556,0,0.0556,0,0,3.6333,0
ひと,0.04,0.24,0.1268,0.84,0.517,0.3715,0.24
ひどい,0.2882,0.2882,0.2882,0.8443,0,0.0909,0
フォロー,0,0,0,0.0833,3.2862,0,0
プレゼント,0.0312,0.0312,0.0312,0,1.3877,1.7093,0.1875
ペット,4.484,0.0123,0.1147,0.0391,0.0741,0.0741,0.2593
ボーナス,0.7656,0.7656,0.2727,0,0.1441,0.4222,0.0455
ポイ,0.0714,0,1.2032,1.5,0,0,0
ポイント,0.7044,0.1667,0.1667,0.0278,0.0278,1.0954,0.8305
ほしい,0.1509,0.4423,0.4423,0.4423,0.8021,0,0.0476
ほど,1.0771,0.0833,0.0833,0.5,0,0.0833,0.0833
ボランティア,0.0909,0,0,0.8443,0.8443,0.2882,0
まだ,0.6016,0.6016,0.1132,0,0.4616,0.9057,0.0357
マナー,0.0196,0,2.5451,1.9513,0,0.0196,0
